"ROCKRADIO.COM - Progressive Rock","http://pub4.rockradio.com:80/rr_progressiverock","Rock","Unknown",""
"ROCKRADIO.COM - Rock Ballads","http://pub1.rockradio.com:80/rr_rockballads","Rock","Unknown",""
"ROCKRADIO.COM - Screamo-Emo","http://pub2.rockradio.com:80/rr_screamoemo","Rock","Unknown",""
"ROCKRADIO.COM - Ska","http://pub3.rockradio.com:80/rr_ska","Rock","Unknown",""
"ROCKRADIO.COM - Soft Rock","http://pub2.rockradio.com:80/rr_softrock","Rock","Unknown","Favorite"
"ROCKRADIO.COM - Symphonic Metal","http://pub2.rockradio.com:80/rr_symphonicmetal","Rock","Unknown",""
"Cherry Radio (Vietnamese)","http://66.45.246.202:8414","Etno","Australia",""
"Saigon Radio Seattle (SRBS)","http://206.71.180.246:8888","Regional service","Vietnamese",""
"Cherry Radio: Knh nhc tr hin","http://66.45.246.202:8420","Pop","Vietnamese",""
"CINEMIX","http://37.59.38.233:8010","Soundtracks","Unknown","Favorite"
"StreamingSoundtracks.com","http://91.121.140.11:8000","Soundtracks","Unknown",""
"Radio Rivendell - The Fantasy Station","http://88.191.143.218:8003","Soundtracks","Unknown",""
"M2 CLASSIC : ONLY SOUNDTRACKS & CLASSICAL MUSIC","http://87.98.163.222:9000","Soundtracks","Unknown",""
"CALMRADIO.COM - MOVIEOLA - Sampler","http://173.192.225.172:8008","Soundtracks","Unknown",""
"Radio Nintendo","http://198.144.180.102:9994","Soundtracks","Unknown",""
"Romske radio iRoma.cz","http://37.157.197.159:8000","Etno","Czech Republic","Favorite"
"NIN radio Czech Republic","http://84.242.120.237:8000/stream/1/","Pop","Czech Republic",""
"FM 93 - Sistema Verdes Mares","http://187.110.229.69:8036","Regional service","Brasil",""
"PAUL IN RIO RADIO","http://99.198.112.59:80","Easy Listening","Brasil",""
"RADIO CISCO","http://69.64.33.245:8006","Easy Listening","Brasil",""
"Brasil Grooves","http://208.167.236.13:8146","Etno","Brasil",""
"AnimeNfo Radio","http://174.127.103.99:443","Rock","Japan",""
"Armitage's Dimension","http://128.227.16.224:8080","Pop","Japan",""
"Big B Radio - JPOP","http://199.241.187.194:8070","Pop","Japan",""
"Japan-A-Radio","http://64.62.194.40:9010","Top 40","Japan",""
"Big B Radio - CPOP","http://199.241.187.194:8064","Pop","China",""
"Jakarta","http://69.64.33.125:8016","Oldies","China",""
"Washington Chinese Radio","http://50.117.8.242:5760/Live","Easy Listening","China",""
"On air POWER - Hong Kong 24hrs","http://58.177.247.26:8128","Regional service","China",""
"Reggae141.com","http://184.107.197.154:8002","Reggae","Unknown",""
"1.FM - REGGAETRADE RADIO","http://205.164.35.25:80","Reggae","Unknown",""
"Radio Index ","http://live3.infonetmedia.si:8000/index","Regional service","Serbia","Favorite"
